gc 33 @13.480s 0%: 0.20+2.4+0.023 ms clock, 0.80+0.31/2.0/2.7+0.093 ms cpu, 222->222->112 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 34 @13.497s 0%: 0.35+1.5+0.053 ms clock, 1.4+1.8/1.4/0+0.21 ms cpu, 212->212->122 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 35 @13.503s 0%: 0.17+6.7+0.17 ms clock, 0.69+1.3/6.4/0+0.71 ms cpu, 212->242->162 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 36 @13.519s 0%: 0.55+1.4+0.18 ms clock, 2.2+1.7/1.0/0+0.74 ms cpu, 282->322->172 MB, 325 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 37 @13.534s 0%: 0.12+1.2+0.004 ms clock, 0.50+0.15/1.1/1.4+0.016 ms cpu, 312->312->122 MB, 345 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 38 @13.543s 0%: 0.11+2.1+0.004 ms clock, 0.47+0.98/2.0/0.50+0.019 ms cpu, 242->242->122 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 39 @13.558s 0%: 6.3+3.3+0.005 ms clock, 25+0/0.79/1.8+0.020 ms cpu, 212->212->102 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 40 @14.462s 0%: 0.16+1.8+0.065 ms clock, 0.66+2.4/1.6/0+0.26 ms cpu, 212->212->112 MB, 205 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 41 @14.472s 0%: 0.11+8.5+0.46 ms clock, 0.47+0.64/2.5/0+1.8 ms cpu, 202->242->172 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 42 @14.507s 0%: 0.68+6.6+0.030 ms clock, 2.7+1.4/0.99/0+0.12 ms cpu, 322->342->152 MB, 345 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 43 @14.522s 0%: 0.17+3.3+0.004 ms clock, 0.71+4.5/1.4/0+0.019 ms cpu, 282->302->142 MB, 305 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 44 @14.531s 0%: 0.20+2.0+0.097 ms clock, 0.80+1.3/1.8/0+0.38 ms cpu, 252->292->172 MB, 285 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 45 @14.544s 0%: 0.26+3.7+0.079 ms clock, 1.0+1.2/3.4/0+0.31 ms cpu, 332->342->122 MB, 345 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 46 @14.554s 0%: 0.15+2.3+0.067 ms clock, 0.60+0/2.0/1.3+0.27 ms cpu, 212->222->122 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 47 @15.466s 0%: 0.17+6.5+0.052 ms clock, 0.71+0.14/6.4/2.1+0.20 ms cpu, 252->272->132 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 48 @15.484s 0%: 0.14+1.1+0.057 ms clock, 0.56+0.020/0.95/1.8+0.22 ms cpu, 242->262->122 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 49 @15.507s 0%: 0.15+1.2+0.003 ms clock, 0.62+0.051/1.1/2.5+0.014 ms cpu, 212->212->102 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 50 @15.519s 0%: 0.19+1.3+0.058 ms clock, 0.77+1.7/1.1/0.027+0.23 ms cpu, 192->192->112 MB, 205 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 51 @15.524s 0%: 0.17+8.3+0.004 ms clock, 0.68+0.92/2.4/0.32+0.019 ms cpu, 192->232->152 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 52 @15.539s 0%: 0.52+4.7+0.29 ms clock, 2.1+0.45/2.4/0+1.1 ms cpu, 262->342->212 MB, 305 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 53 @15.561s 0%: 0.25+2.5+0.23 ms clock, 1.0+1.4/1.9/0+0.95 ms cpu, 362->412->182 MB, 425 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 54 @16.465s 0%: 0.16+1.7+0.003 ms clock, 0.66+0/1.6/2.3+0.014 ms cpu, 312->312->102 MB, 365 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 55 @16.480s 0%: 0.61+1.1+0.057 ms clock, 2.4+1.3/1.0/0+0.23 ms cpu, 202->202->112 MB, 205 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 56 @16.489s 0%: 0.10+0.95+0.005 ms clock, 0.42+0.28/0.90/1.9+0.021 ms cpu, 192->192->102 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 57 @16.517s 0%: 0.71+3.4+0.093 ms clock, 2.8+1.8/1.5/0+0.37 ms cpu, 232->232->122 MB, 205 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 58 @16.528s 0%: 0.21+3.0+0.17 ms clock, 0.87+1.8/2.6/0+0.69 ms cpu, 222->242->132 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 59 @16.540s 0%: 0.18+3.5+0.17 ms clock, 0.73+3.3/3.1/0.038+0.69 ms cpu, 232->252->132 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 60 @16.554s 0%: 0.15+4.0+0.027 ms clock, 0.61+1.7/3.2/0.044+0.10 ms cpu, 242->262->142 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 61 @16.565s 0%: 0.21+3.4+0.037 ms clock, 0.86+0.71/1.6/0+0.15 ms cpu, 262->282->152 MB, 285 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 62 @17.457s 0%: 0.18+2.1+0.053 ms clock, 0.72+0.25/1.3/1.1+0.21 ms cpu, 262->282->132 MB, 305 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 63 @17.479s 0%: 0.16+4.5+0.051 ms clock, 0.65+1.4/2.7/0+0.20 ms cpu, 242->262->152 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 64 @17.494s 0%: 0.19+5.9+0.006 ms clock, 0.78+0.40/2.2/0+0.026 ms cpu, 262->282->132 MB, 305 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 65 @17.526s 0%: 0.16+1.8+0.004 ms clock, 0.66+1.9/1.7/0+0.019 ms cpu, 262->262->112 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 66 @17.532s 0%: 0.12+2.5+0.087 ms clock, 0.50+0.19/2.2/1.4+0.34 ms cpu, 192->212->142 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 67 @17.550s 0%: 0.31+2.1+0.52 ms clock, 1.2+0.16/1.3/1.6+2.0 ms cpu, 272->282->132 MB, 285 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 68 @17.563s 0%: 0.16+3.0+0.056 ms clock, 0.64+2.0/2.8/0+0.22 ms cpu, 262->262->112 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 4 P
